Parent	Child
Root	animals
Root	plants
animals	mammals
animals	reptiles
animals	fish
animals	birds
animals	amphibians
animals	Arachnida
animals	Clitellata
animals	Insecta
animals	Malacostraca
fish	Actinopterygii
fish	Asteroidea
fish	Chondrichthyes
fish	Hydrozoa
fish	Myxini
fish	Sarcopterygii
fish	Scyphozoa
Scyphozoa	Jellyfish
Scyphozoa	Lion’s Mane Jellyfish
Scyphozoa	Moon Jellyfish
Sarcopterygii	Coelacanth
Sarcopterygii	Lungfish
reptiles	Aesculapian snake
reptiles	Agama Lizard
reptiles	Aldabra Giant Tortoise
reptiles	Alligator
reptiles	Anaconda
reptiles	Anole Lizard
reptiles	Arafura File Snake
reptiles	Arizona Black Rattlesnake
reptiles	Armadillo Lizard
reptiles	Asp
reptiles	Australian Gecko
reptiles	Ball Python
reptiles	Banana Ball Python
reptiles	Banded Water Snake
reptiles	Basilisk Lizard
reptiles	Bearded Dragon
reptiles	Black Mamba
reptiles	Blood Python
reptiles	Blue Belly Lizard
reptiles	Blue Iguana
reptiles	Boomslang
reptiles	Box Turtle
reptiles	Brookesia Micra
reptiles	Brown Snake
reptiles	Brown Water Snake
reptiles	Burmese Python
reptiles	Bush Viper
reptiles	Bushmaster Snake
reptiles	Caiman
reptiles	Caiman Lizard
reptiles	Cantil
reptiles	Carpet Python
reptiles	Carpet Viper
reptiles	Cascabel
reptiles	Chameleon
reptiles	Chicken Snake
reptiles	Chinese Alligator
reptiles	Coachwhip Snake
reptiles	Collett’s Snake
reptiles	Common European Adder
reptiles	Copperhead
reptiles	Coral Snake
reptiles	Corn Snake
reptiles	Cottonmouth
reptiles	Crested Gecko
reptiles	Crocodile
reptiles	Death Adder
reptiles	Desert Tortoise
reptiles	Draco Volans Lizard
reptiles	Eastern Diamondback Rattlesnake
reptiles	Eastern Fence Lizard
reptiles	Eastern Glass Lizard
reptiles	Eastern Indigo Snake
reptiles	Eastern Rat snake
reptiles	Egyptian Cobra
reptiles	Emerald Tree Monitor
reptiles	Fer-de-lance Snake
reptiles	Fierce Snake
reptiles	Fox Snakes
reptiles	Freshwater Crocodile
reptiles	Frilled Lizard
reptiles	Gaboon Viper
reptiles	Galapagos Tortoise
reptiles	Garter Snake
reptiles	Gecko
reptiles	Gharial
reptiles	Gila Monster
reptiles	Glass Lizard
reptiles	Gopher Snake
reptiles	Gopher Tortoise
reptiles	Grass Snake
reptiles	Green Anole
reptiles	Green Mamba
reptiles	Green Tree Python
reptiles	Horned Adder
reptiles	Horned Lizard
reptiles	Horned Viper
reptiles	Iguana
reptiles	Indian Cobra
reptiles	Indian Star Tortoise
reptiles	Indigo Snake
reptiles	Jackson’s Chameleon
reptiles	Kenyan Sand Boa
reptiles	King Cobra
reptiles	King Snake
reptiles	Kirtland’s snake
reptiles	Komodo Dragon
reptiles	Lazarus Lizard
reptiles	Leaf-Tailed Gecko
reptiles	Leopard Gecko
reptiles	Leopard Lizard
