Parent	Child
Root	plants
Root	animals
animals	Malacostraca
animals	birds
animals	reptiles
animals	Clitellata
animals	mammals
animals	amphibians
animals	Arachnida
animals	Insecta
animals	fish
fish	Piranha
fish	Clownfish
fish	Hagfish
fish	Herring
fish	Tarpon
fish	Bowfin
fish	Flounder
fish	Chimaera
fish	Lungfish
fish	Frogfish
fish	Lionfish
fish	Arapaima
fish	Monkfish
fish	Barb
fish	Pufferfish
fish	Eel
fish	Megalodon
fish	Sardines
fish	Salmon
fish	Discus
fish	Anchovies
fish	Toadfish
fish	Fangtooth
fish	Molly
fish	Milkfish
fish	Sawfish
fish	Carp
fish	Blobfish
fish	Wolffish
fish	Jellyfish
fish	Tetra
fish	Codfish
fish	Paddlefish
fish	Seahorse
fish	Guppy
fish	Haddock
fish	Lizardfish
fish	Loach
fish	Barracuda
fish	Rockfish
fish	Wrasse
fish	Squirrelfish
fish	Danios
fish	Tuna
fish	Escolar
fish	Parrotfish
fish	Goldfish
fish	Sturgeon
fish	Coelacanth
fish	Bichir
fish	Tang
fish	Stingray
fish	Anglerfish
fish	Grouper
fish	Trout
fish	Angelfish
fish	Starfish
fish	Cichlid
fish	Gar
fish	Dragonfish
fish	Shark
fish	Boxfish
reptiles	Mamba
reptiles	Massasauga
reptiles	Crocodile
reptiles	Tuatara
reptiles	Worm
reptiles	Cottonmouth
reptiles	Cantil
reptiles	Python
reptiles	Anaconda
reptiles	Boomslang
reptiles	Turtle
reptiles	Iguana
reptiles	Alligator
reptiles	Snake
reptiles	Cascabel
reptiles	Cobra
reptiles	Lizard
reptiles	Gecko
reptiles	Tortoise
reptiles	Gharial
reptiles	Rattlesnake
reptiles	Copperhead
reptiles	Chameleon
reptiles	Turtles
reptiles	Caiman
mammals	Porpoise
mammals	Pyredoodle
mammals	Malteagle
mammals	Bichpoo
mammals	Samoyed
mammals	Brug
mammals	Kudu
mammals	Civet
mammals	Moose
mammals	Gazelle
mammals	Bassetoodle
mammals	Hippopotamus
mammals	Cheetah
mammals	Alabai
mammals	Beaver
mammals	Boxador
mammals	Bat
mammals	Caribou
mammals	Aidi
mammals	Springerdoodle
mammals	Vizsla
mammals	Wallaby
mammals	Anteater
mammals	Cow
mammals	Mongoose
mammals	Wombat
mammals	Tamaskan
mammals	Saola
mammals	Beagle
mammals	Cuscus
mammals	Pyrador
mammals	Muskox
mammals	Bonobo
mammals	Dorkie
mammals	Gerbil
mammals	Cougar
mammals	Nyala
mammals	Quagga
mammals	Eskipoo
mammals	Goldendoodle
mammals	Puma
mammals	Dalmadoodle
mammals	Platypus
mammals	Indri
mammals	Pitsky
mammals	Kodkod
mammals	Quokka
mammals	Pug
mammals	Huntaway
mammals	Ape
mammals	Zonkey
mammals	Chipmunk
mammals	Zorse
mammals	Polecat
mammals	Aussiedoodle
mammals	Shepadoodle
mammals	Bobcat
mammals	Feist
mammals	Harrier
mammals	Vicuña
mammals	Bilby
mammals	Nebelung
mammals	Coyote
mammals	Armadillo
mammals	Collie
mammals	Skunk
mammals	Lhasapoo
mammals	Jackal
mammals	Griffonshire
mammals	Uakari
mammals	Jackabee
mammals	Dingo
mammals	Numbat
mammals	Gibbon
mammals	Dalmatian
mammals	Rottsky
mammals	Lynx
mammals	Havashire
mammals	Boxerdoodle
mammals	Dachshund
mammals	Kooikerhondje
mammals	Bassador
mammals	Morkie
mammals	Kishu
mammals	Ibex
mammals	Huskita
mammals	Rodents
mammals	Burmese
mammals	Groenendael
mammals	Baiji
mammals	Drever
mammals	Giraffe
mammals	Liger
mammals	Beaglier
mammals	Newfypoo
mammals	Marmoset
mammals	Meagle
mammals	Baboon
mammals	Labraheeler
mammals	Husky
mammals	Corgipoo
mammals	Elephant
mammals	Cat
mammals	Kuvasz
mammals	Boggle
mammals	Bulldog
mammals	Hyena
mammals	Doxiepoo
mammals	Airedoodle
mammals	Bandicoot
mammals	Llama
mammals	Borkie
mammals	Pronghorn
mammals	Shepweiler
mammals	Siberpoo
mammals	Pomeagle
mammals	Frengle
mammals	Shrew
mammals	Rabbit
mammals	Yak
mammals	Vaquita
mammals	Beauceron
mammals	Rat
mammals	Mastiff
mammals	Glechon
mammals	Beagador
mammals	Pitador
mammals	Gorilla
mammals	Weimardoodle
mammals	Goberian
mammals	Frenchton
mammals	Labahoula
mammals	Sambar
mammals	Gopher
mammals	Rottweiler
mammals	Bullmastiff
mammals	Weimaraner
mammals	Leopard
mammals	Balinese
mammals	Fox
mammals	Okapi
mammals	Shollie
mammals	Koala
mammals	Dormouse
mammals	Impala
mammals	Hamster
mammals	Narwhal
mammals	Newfoundland
mammals	Snowshoe
mammals	Bloodhound
mammals	Cockalier
mammals	Birman
mammals	Chamois
mammals	Huskydoodle
mammals	Horgi
mammals	Mongrel
mammals	Zebu
mammals	Ferret
mammals	Antelope
mammals	Aardvark
mammals	Schipperke
mammals	Binturong
mammals	Raccoon
mammals	Xerus
mammals	Siamese
mammals	Siberian
mammals	Possum
mammals	Corgidor
mammals	Torkie
mammals	Camel
mammals	Borador
mammals	Buffalo
mammals	Bear
mammals	Yoranian
mammals	Saiga
mammals	Dog
mammals	Badger
mammals	Babirusa
mammals	Barbet
mammals	Ragdoll
mammals	Genet
mammals	Aurochs
mammals	Miki
mammals	Boxsky
mammals	Pademelon
mammals	Warthog
mammals	Muntjac
mammals	Labradane
mammals	Meerkat
mammals	Poodle
mammals	Goat
mammals	Manatee
mammals	Havanese
mammals	Deer
mammals	Ainu
mammals	Goldador
mammals	Zuchon
mammals	Tiffany
mammals	Keeshond
mammals	Caracal
mammals	Beago
mammals	Corkie
mammals	Dugong
mammals	Koolie
mammals	Tapir
mammals	Tiger
mammals	Aussiedor
mammals	Woodrat
mammals	Sloth
mammals	Ragamuffin
mammals	Bongo
mammals	Potoroo
mammals	Pika
mammals	Chihuahua
mammals	Labmaraner
mammals	Takin
mammals	Pumi
mammals	Cheagle
mammals	Boxweiler
mammals	Ox
mammals	Affenpinscher
mammals	Papillon
mammals	Puggle
mammals	Bordoodle
mammals	Akbash
mammals	Greyhound
mammals	Mudi
mammals	Fossa
mammals	Wolverine
mammals	Seal
mammals	Squirrel
mammals	Dachsador
mammals	Serval
mammals	Whippet
mammals	Horse
mammals	Poochon
mammals	Panther
mammals	Neanderthal
mammals	Chinchilla
mammals	Monkey
mammals	Maltese
mammals	Pomsky
mammals	Huskador
mammals	Ermine
mammals	Dhole
mammals	Spaniel
mammals	Springbok
mammals	Xoloitzcuintli
mammals	Coati
mammals	Kinkajou
mammals	Pomchi
mammals	Tarsier
mammals	Kangal
mammals	Chiweenie
mammals	Cavador
mammals	Wildebeest
mammals	Chipoo
mammals	Mouse
mammals	Zebra
mammals	Chinook
mammals	Bergamasco
mammals	Hedgehog
mammals	Porcupine
mammals	Snorkie
mammals	Chorkie
mammals	Mule
mammals	Macaque
mammals	Markhor
mammals	Mastador
mammals	Jackrabbit
mammals	Dunker
mammals	Schneagle
mammals	Chimpanzee
mammals	Alusky
mammals	Utonagan
mammals	Terrier
mammals	Stoat
mammals	Reindeer
mammals	Bison
mammals	Leonberger
mammals	Sable
mammals	Wolf
mammals	Rhinoceros
mammals	Mole
mammals	Beaski
mammals	Raggle
mammals	Echidna
mammals	Saluki
mammals	Dorgi
mammals	Pudelpointer
mammals	Hare
mammals	Poogle
mammals	Douc
mammals	Ocelot
mammals	Human
mammals	Somali
mammals	Persian
mammals	Otter
mammals	Pekingese
mammals	Marmot
mammals	Chartreux
mammals	Opossum
mammals	Spanador
mammals	Doxle
mammals	Addax
mammals	Nilgai
mammals	Pig
mammals	Pointer
mammals	Javanese
mammals	Labradoodle
mammals	Donkey
mammals	Lowchen
mammals	Alpaca
mammals	Shepkita
mammals	Whoodle
mammals	Jerboa
mammals	Otterhound
mammals	Westiepoo
mammals	Kangaroo
mammals	Peagle
mammals	Mink
mammals	Beefalo
mammals	Springador
mammals	Walrus
mammals	Sheep
mammals	Eland
mammals	Beabull
mammals	Dalmador
mammals	Hokkaido
mammals	Lak
mammals	Aardwolf
mammals	Lemming
mammals	Akita
mammals	Capybara
mammals	Stabyhoun
mammals	Weasel
mammals	Lion
mammals	Jaguar
mammals	Quoll
mammals	Abyssinian
mammals	Lemur
mammals	Muskrat
mammals	Pugshire
mammals	Mandrill
Malacostraca	Woodlouse
Malacostraca	Krill
Malacostraca	Crab
Insecta	Dragonfly
Insecta	Bee
Insecta	Butterfly
Insecta	Earwig
Insecta	Firefly
Insecta	moth
Insecta	Insect
Insecta	Ant
Insecta	Housefly
Insecta	Horsefly
Insecta	Beetle
Insecta	Ladybug
Insecta	Caterpillar
Insecta	Flea
Insecta	Bumblebee
Insecta	Bug
Insecta	Mayfly
Insecta	Mosquito
Insecta	Armyworm
Insecta	Fly
Insecta	Mealybug
Insecta	Wasp
Insecta	Insects
Insecta	Locust
Insecta	Cockroach
Insecta	Maggot
Insecta	Termite
Insecta	Cricket
Insecta	Grasshopper
Insecta	Cicada
Insecta	Moth
Clitellata	Earthworm
Clitellata	Worm
Clitellata	Leech
birds	Hornbill
birds	Pelican
birds	Sparrowhawk
birds	Swan
birds	Owl
birds	Eagle
birds	Uguisu
birds	Parrotlet
birds	Dodo
birds	Fowl
birds	Booby
birds	Hawk
birds	Kestrel
birds	Jackdaw
birds	Myna
birds	Vulture
birds	Grouse
birds	Pigeon
birds	Hoopoe
birds	Toucan
birds	Swallow
birds	Treecreeper
birds	Cuckoo
birds	Lyrebird
birds	Goose
birds	Ostrich
birds	Moorhen
birds	Parrot
birds	Cockatiel
birds	Puffin
birds	Dunnock
birds	Potoo
birds	Mallard
birds	Pheasant
birds	Umbrellabird
birds	Turkey
birds	Kookaburra
birds	Frigatebird
birds	Peacock
birds	Flamingo
birds	Chicken
birds	Quail
birds	Jacana
birds	Kakapo
birds	Woodpecker
birds	Parakeet
birds	Seagull
birds	Magpie
birds	Ibis
birds	Duck
birds	Bobolink
birds	Crow
birds	Rooster
birds	Cassowary
birds	Crane
birds	Albatross
birds	Macaw
birds	Kite
birds	Chickadee
birds	Hummingbird
birds	Robin
birds	Lorikeet
birds	Sparrow
birds	Kingfisher
birds	Stork
birds	Budgerigar
birds	Falcon
birds	Quetzal
birds	Avocet
birds	Cockatoo
birds	pigeon
birds	Kiwi
birds	Heron
birds	Dove
birds	Thrush
birds	Tropicbird
birds	Penguin
Arachnida	Scorpion
Arachnida	Spider
Arachnida	Tick
Arachnida	Vinegaroon
Arachnida	Tarantula
amphibians	Olm
amphibians	Natterjack
amphibians	Newt
amphibians	Frog
amphibians	Salamander
amphibians	Axolotl
amphibians	Hellbender
amphibians	Caecilian
amphibians	Toad
amphibians	Bullfrog
amphibians	Mudpuppy
plants	Climbers
plants	Trees
plants	Creepers
plants	Shrubs
plants	Herbs
creepers	Pumpkin
creepers	Moneyplant
creepers	Mandevilla
creepers	Watermelon
creepers	Jasmine
creepers	Bignonia
creepers	Aparajita
creepers	Strawberry
creepers	Allamanda
climbers	Wisteria
climbers	Passionflower
climbers	Honeysuckle
climbers	Bougainvillaea
climbers	Brambles
climbers	Clematis
climbers	Akebia
trees	akee
trees	macrocarpa
trees	cypress
trees	olive
trees	lemon
trees	wilga
trees	mango
trees	apple
trees	persimmon
trees	boree
trees	ash
trees	cashew
trees	raffia
trees	magnolia
trees	tamarind
trees	pomegranate
trees	quince
trees	cassia
trees	coco
trees	laurel
trees	peach
trees	gympie
trees	almond
trees	mulberry
trees	aloe
trees	bitterbark
trees	sequoia
trees	yew
trees	hawthorn
trees	orange
trees	willow
trees	elder
trees	pine
trees	hornbeam
trees	bay
trees	beech
trees	cherry
trees	cinnamon
trees	karri
trees	plum
trees	ironwood
trees	birch
trees	lotus
trees	redwood
trees	maple
trees	sycamore
trees	paperbark
trees	carob
trees	sandalwood
trees	berrigan
trees	bonsai
trees	sassafras
trees	juniper
trees	hazel
trees	banana
trees	boxwood
trees	poplar
trees	oak
trees	spruce
trees	wirilda
trees	witch
trees	acacia
trees	apricot
trees	cedar
trees	hickory
trees	mahogany
trees	melaleuca
trees	walnut
trees	mangrove
trees	ilex
trees	kauri
trees	ebony
trees	nutmeg
trees	bloodwood
trees	grapefruit
trees	rowan
trees	alder
trees	angophora
trees	lime
trees	lind
trees	cacao
trees	papaya
trees	mallee
trees	lilac
trees	beefwood
trees	butternut
trees	hemlock
trees	linden
trees	myall
trees	wandoo
trees	brigalow
trees	elm
trees	guava
trees	mimosa
trees	palm
trees	mugga
trees	whitebeam
trees	wattle
trees	jarrah
trees	plane
trees	jacaranda
trees	holly
trees	larch
trees	citrus
trees	laburnum
trees	dogwood
trees	banyan
trees	ironbark
trees	rosewood
trees	coachwood
trees	osier
trees	deal
trees	pear
trees	aspen
trees	teak
trees	balsa
trees	grasstree
trees	chestnut
trees	marri
shrubs	Hedera
shrubs	Dipelta
shrubs	Ceanothus
shrubs	Ulex
shrubs	Illicium
shrubs	Jamesia
shrubs	Poncirus
shrubs	Quercus
shrubs	Bougainvillea
shrubs	Rosmarinus
shrubs	Styrax
shrubs	Thymelaea
shrubs	Dracaena
shrubs	Malpighia
shrubs	Hudsonia
shrubs	Hyssopus
shrubs	Actinidia
shrubs	Vaccinium
shrubs	Forsythia
shrubs	Skimmia
shrubs	Cistus
shrubs	Artemisia
shrubs	Xylosma
shrubs	Empetrum
shrubs	Trochodendron
shrubs	Rhododendron
shrubs	Aralia
shrubs	Colutea
shrubs	Decaisnea
shrubs	Grevillea
shrubs	Symphoricarpos
shrubs	Jasminum
shrubs	Ungnadia
shrubs	Desfontainea
shrubs	Hoheria
shrubs	Brugmansia
shrubs	Ruta
shrubs	Escallonia
shrubs	Perovskia
shrubs	Camellia
shrubs	Lespedeza
shrubs	Pachysandra
shrubs	Philadelphus
shrubs	Helianthemum
shrubs	Mespilus
shrubs	Carpenteria
shrubs	Leycesteria
shrubs	Phlomis
shrubs	Caragana
shrubs	Lupinus
shrubs	Zenobia
shrubs	Romneya
shrubs	Chionanthus
shrubs	Hippophae
shrubs	Staphylea
shrubs	Arctostaphylos
shrubs	Lagerstroemia
shrubs	Lantana
shrubs	Epigaea
shrubs	Daphne
shrubs	Indigofera
shrubs	Hydrangea
shrubs	Fabiana
shrubs	Aucuba
shrubs	Euonymus
shrubs	Kolkwitzia
shrubs	Menziesia
shrubs	Paeonia
shrubs	Calycanthus
shrubs	Lonicera
shrubs	Clerodendrum
shrubs	Sophora
shrubs	Hibiscus
shrubs	Gaultheria
shrubs	Calluna
shrubs	Gaylussacia
shrubs	Syringa
shrubs	Zauschneria
shrubs	Salvia
shrubs	Thymus
shrubs	Cornus
shrubs	Pieris
shrubs	Cotinus
shrubs	Buxus
shrubs	Diervilla
shrubs	Olearia
shrubs	Exochorda
shrubs	Pistacia
shrubs	Leptospermum
shrubs	Berberis
shrubs	Quassia
shrubs	Rhamnus
shrubs	Juniperus
shrubs	Spartium
shrubs	Fothergilla
shrubs	Xanthorhiza
shrubs	Santolina
shrubs	Dendromecon
shrubs	Sambucus
shrubs	Zanthoxylum
shrubs	Genista
shrubs	Itea
shrubs	Sorbaria
shrubs	Vinca
shrubs	Physocarpus
shrubs	Erica
shrubs	Polygala
shrubs	Hamamelis
shrubs	Garrya
shrubs	Chamaebatiaria
shrubs	Ephedra
shrubs	Ilex
shrubs	Pittosporum
shrubs	Lavatera
shrubs	Abelia
shrubs	Ribes
shrubs	Stephanandra
shrubs	Ledum
shrubs	Menispermum
shrubs	Gordonia
shrubs	Calia
shrubs	Eriobotrya
shrubs	Xanthoceras
shrubs	Comptonia
shrubs	Crataegus
shrubs	Microcachrys
shrubs	Celastrus
shrubs	Enkianthus
shrubs	Deutzia
shrubs	Mahonia
shrubs	Corylopsis
shrubs	Clethra
shrubs	Viscum
shrubs	Chamaedaphne
shrubs	Lapageria
shrubs	Dryas
shrubs	Buddleja
shrubs	Halimium
shrubs	Lavandula
shrubs	Fremontodendron
shrubs	Hakea
shrubs	Verbena
shrubs	Danae
shrubs	Kerria
shrubs	Franklinia
shrubs	Rhus
shrubs	Leitneria
shrubs	Simmondsia
shrubs	Cassiope
shrubs	Chaenomeles
shrubs	Hebe
shrubs	Senecio
shrubs	Lindera
shrubs	Lycium
shrubs	Taxus
shrubs	Quintinia
shrubs	Tamarix
shrubs	Callicarpa
shrubs	Elaeagnus
shrubs	Rosa
shrubs	Halesia
shrubs	Osmanthus
shrubs	Spiraea
shrubs	Quillaja
shrubs	Telopea
shrubs	Ligustrum
shrubs	Magnolia
shrubs	Cercocarpus
shrubs	Myrica
shrubs	Ceratostigma
shrubs	Sabia
shrubs	Griselinia
shrubs	Yucca
shrubs	Fallugia
shrubs	Kalmia
shrubs	Leucothoe
shrubs	Colletia
shrubs	Linnaea
shrubs	Viburnum
shrubs	Pyracantha
shrubs	Cowania
shrubs	Plumbago
shrubs	Holodiscus
shrubs	Fuchsia
shrubs	Myricaria
shrubs	Photinia
shrubs	Sapindus
shrubs	Weigela
shrubs	Purshia
shrubs	Callistemon
shrubs	Daboecia
shrubs	Prunus
shrubs	Choisya
shrubs	Crinodendron
shrubs	Dasiphora
shrubs	Smilax
shrubs	Cotoneaster
shrubs	Cytisus
shrubs	Aloe
shrubs	Eucryphia
shrubs	Ziziphus
shrubs	Fatsia
shrubs	Dirca
shrubs	Chimonanthus
shrubs	Embothrium
shrubs	Rubus
shrubs	Salix
shrubs	Aronia
shrubs	Nerium
shrubs	Caryopteris
shrubs	Clianthus
shrubs	Myrtus
shrubs	Drimys
shrubs	Neillia
shrubs	Hypericum
herbs	Geraniums
herbs	Cotula
herbs	Yarrow
herbs	Cicely
herbs	Southernwood
herbs	Oregano
herbs	Costmary
herbs	Lavender
herbs	Hyssop
herbs	Heartease
herbs	Fennel
herbs	Rosemary
herbs	Chervil
herbs	Cilantro
herbs	Astralagus
herbs	Saffron
herbs	Nosegays
herbs	Sorrel
herbs	Wormwood
herbs	Horehound
herbs	Vitex
herbs	Burnet
herbs	Rue
herbs	Anise
herbs	Mullein
herbs	Chamomile
herbs	Dill
herbs	Calamint
herbs	Epazote
herbs	Lungwort
herbs	Parsley
herbs	Thyme
herbs	Garlic
herbs	Comfrey
herbs	Feverfew
herbs	Foxglove
herbs	Ginseng
herbs	Mugwort
herbs	Bayberry
herbs	Savory
herbs	Pennyroyal
herbs	Scullcap
herbs	Mint
herbs	Tarragon
herbs	Bay
herbs	Zedoary
herbs	Germander
herbs	Calendula
herbs	Nasturtium
herbs	Arnika
herbs	Marjoram
herbs	Cayenne
herbs	Valerian
herbs	Lovage
herbs	Chives
herbs	Nettle
herbs	Horseradish
herbs	Patchouli
herbs	Catnip
herbs	Tulsi
herbs	Woodruff
herbs	Turmeric
herbs	Basil
herbs	Borage
herbs	Stevia
herbs	Ginger
herbs	Lemongrass
herbs	Sage
herbs	Laurel
herbs	Caraway
herbs	Peppermint
herbs	Tansy
